year,隐私介绍,第一方收集和使用数据,Cookies以及相似技术,第三方收集和分享数据,用户选项及权利,数据安全,数据保留,国际数据存储及转移,特殊人群,隐私政策修改,隐私政策联系信息
2016/01,8,34,1,14,6,3,2,0,0,0,1
2016/02,8,34,1,14,6,3,2,0,0,0,1
2016/03,8,34,1,14,6,3,2,0,0,0,1
2016/04,8,34,1,14,6,3,2,0,0,0,1
2016/05,8,35,1,14,6,3,2,0,0,0,0
2016/06,8,35,1,14,6,3,2,0,0,0,0
2016/07,8,35,1,15,6,3,2,0,0,0,0
2016/08,8,35,1,15,6,3,2,0,0,0,0
2016/09,8,35,1,15,6,3,2,0,0,0,0
2016/10,8,35,1,15,6,3,2,0,0,0,0
2016/11,8,35,1,15,6,3,2,0,0,0,0
2016/12,8,35,1,15,6,3,2,0,0,0,0
2017/01,8,35,1,15,6,3,2,0,0,0,0
2017/02,8,35,1,15,6,3,2,0,0,0,0
2017/03,8,35,1,15,6,3,2,0,0,0,0
2017/04,8,35,1,15,6,3,2,0,0,0,0
2017/05,8,35,1,15,6,3,2,0,0,0,0
2017/06,8,35,1,15,6,3,2,0,0,0,0
2017/07,8,35,1,15,6,3,2,0,0,0,0
2017/08,8,35,1,15,6,3,2,0,0,0,0
2017/09,8,34,1,13,6,3,2,0,0,0,0
2017/10,8,34,1,13,6,3,2,0,0,0,0
2017/11,8,34,1,13,6,3,2,0,0,0,0
2017/12,8,34,1,13,6,3,2,0,0,0,0
2018/01,8,34,1,13,6,3,2,0,0,0,0
2018/02,8,34,1,13,6,3,2,0,0,0,0
2018/03,8,34,1,13,6,3,2,0,0,0,0
2018/06,6,39,0,9,16,1,8,3,0,1,7
2018/08,6,34,0,11,17,2,4,3,0,1,9
2018/09,6,34,0,11,17,2,4,3,0,1,9
2018/10,6,34,0,11,17,2,4,3,0,1,9
2018/11,6,34,0,11,17,2,4,3,0,1,9
2018/12,6,34,0,11,17,2,4,3,0,1,9
2019/01,6,34,0,11,17,2,4,3,0,1,9
2019/02,10,35,0,14,18,2,7,3,0,1,9
2019/03,10,35,0,14,18,2,7,3,0,1,9
2019/04,7,35,0,11,18,3,4,3,0,1,10
2019/05,7,35,0,11,18,3,4,3,0,1,10
2020/06,5,45,0,12,17,0,8,1,1,1,2
