x,y
-7.17E+00,-7.28E+00
-7.13E+00,-7.05E+00
-7.33E+00,-7.02E+00
-7.66E+00,-6.77E+00
-8.24E+00,-6.57E+00
-8.22E+00,-6.59E+00
-8.06E+00,-7.88E+00
-9.06E+00,-6.94E+00
-8.44E+00,-7.06E+00
-8.01E+00,-7.32E+00
-8.98E+00,-7.14E+00
-7.67E+00,-7.70E+00
-8.88E+00,-7.46E+00
-8.70E+00,-7.69E+00
-8.20E+00,-7.17E+00
-9.00E+00,-6.63E+00
-8.36E+00,-7.82E+00
-7.67E+00,-7.70E+00
-8.86E+00,-6.28E+00
-8.86E+00,-6.28E+00
-8.26E+00,-5.87E+00
-7.72E+00,-6.32E+00
-7.15E+00,-6.54E+00
-8.26E+00,-5.87E+00
-7.34E+00,-6.26E+00
-7.84E+00,-5.84E+00
-7.52E+00,-5.97E+00
-3.04E+00,-4.93E+00
-2.26E+00,-4.39E+00
-1.86E+00,-4.42E+00
-2.26E+00,-4.39E+00
-2.26E+00,-4.39E+00
-1.86E+00,-4.42E+00
-1.86E+00,-4.42E+00
-2.28E+00,-5.28E+00
-2.28E+00,-5.28E+00
-1.89E+00,-4.88E+00
-1.89E+00,-4.88E+00
-3.66E+00,-5.25E+00
-1.55E+00,-3.87E+00
-2.40E+00,-3.15E+00
-2.40E+00,-3.86E+00
-6.34E+00,-5.92E+00
2.09E+00,3.84E+00
1.24E-01,-2.00E+00
3.56E+00,7.26E+00
2.35E+00,6.45E+00
3.08E+00,9.17E-01
1.08E+00,-8.89E-01
6.22E-01,4.85E+00
5.75E+00,3.66E+00
-1.43E-01,3.23E-01
-1.45E+00,-4.02E-01
-1.12E+00,-1.44E+00
-8.17E-01,-1.56E-01
6.10E+00,4.95E+00
-1.54E+00,2.33E+00
-7.42E-01,4.43E+00
-7.26E-01,4.05E+00
-4.71E-01,-1.40E+00
7.18E+00,3.55E+00
4.43E+00,4.72E+00
2.75E+00,1.55E+00
2.48E+00,4.39E+00
8.84E-01,-2.40E-02
6.50E+00,4.89E+00
7.05E-01,-1.11E+00
-1.59E+00,1.46E+00
6.58E+00,3.06E+00
4.13E+00,7.92E+00
7.39E+00,7.27E+00
-3.24E-01,-4.04E-01
8.33E-01,-1.03E+00
6.55E-01,4.66E+00
2.24E+00,6.68E+00
7.94E+00,6.28E+00
2.40E+00,1.48E+00
-1.17E+00,1.75E+00
-1.65E+00,1.49E+00
4.50E+00,1.69E+00
7.64E+00,4.86E+00
-1.27E+00,6.10E-01
8.09E+00,4.27E+00
2.81E+00,5.21E-01
5.63E+00,4.59E+00
5.82E+00,8.79E+00
4.25E+00,6.48E+00
1.95E+00,5.20E+00
6.97E+00,5.60E+00
7.88E+00,3.40E+00
8.97E+00,6.07E+00
6.85E+00,3.04E+00
8.41E+00,3.58E+00
-2.93E+00,2.58E+00
4.57E+00,5.32E+00
1.76E+00,7.26E-01
6.67E+00,7.30E+00
6.34E+00,4.56E+00
-1.68E+00,-6.83E-01
-9.63E-01,2.64E+00
2.78E+00,6.08E+00
4.59E+00,8.54E+00
7.95E+00,3.87E+00
3.08E+00,7.05E+00
1.89E+00,1.17E+00
-2.68E+00,2.56E+00
7.03E+00,7.44E+00
1.09E+00,5.60E+00
-1.21E+00,2.78E+00
-1.20E+00,3.48E+00
9.22E+00,6.73E+00
6.53E-01,2.20E+00
3.85E+00,8.32E+00
2.25E+00,4.85E+00
8.14E+00,4.98E+00
6.17E+00,8.31E+00
8.57E+00,5.42E+00
7.03E-01,1.13E+00
6.36E+00,7.83E+00
5.03E+00,8.47E+00
1.29E+00,4.83E-01
3.09E+00,2.41E+00
-2.42E+00,2.90E+00
-5.87E-01,-2.28E+00
4.31E+00,3.62E+00
5.20E+00,6.05E+00
5.89E+00,6.13E+00
7.20E+00,6.73E+00
3.99E+00,7.64E+00
-2.54E+00,2.47E+00
4.99E+00,8.61E+00
4.94E+00,3.17E+00
2.65E+00,2.33E-01
8.22E+00,6.41E+00
4.10E+00,3.62E+00
8.76E+00,3.74E+00
3.29E+00,6.28E+00
-4.43E-01,3.36E+00
4.48E+00,7.13E+00
8.19E+00,4.39E+00
4.77E+00,2.02E+00
9.02E-01,-1.25E+00
4.09E+00,6.38E+00
2.71E+00,2.71E+00
5.98E+00,7.13E+00
9.03E+00,5.44E+00
8.84E+00,4.23E+00
5.37E+00,5.55E+00
7.59E+00,7.17E+00
-1.80E+00,-2.51E+00
2.82E+00,-7.52E-02
2.19E+00,7.08E+00
8.59E+00,5.33E+00
